FID	IID	Fhom
0	NA19377	0.003097
0	NA19379	-0.005011
0	NA19380	0.01
0	NA19381	-0.001635
0	NA19382	0.00168
0	NA19383	-0.008146
0	NA19384	0.009955
0	NA19385	0.01231
0	NA19390	-0.0004597
0	NA19391	0.008297
0	NA19393	-0.01547
0	NA19394	0.009457
0	NA19395	-0.007784
0	NA19396	-0.01326
0	NA19397	-0.01333
0	NA19398	0.001047
0	NA19399	0.003127
0	NA19401	-0.00153
0	NA19403	0.002781
0	NA19404	0.01404
0	NA19428	-0.001786
0	NA19429	-0.00486
0	NA19430	-0.006955
0	NA19431	-0.002042
0	NA19434	-0.02189
0	NA19435	-0.00257
0	NA19436	-0.005885
0	NA19437	-0.006292
0	NA19438	-0.00905
0	NA19439	-0.008628
0	NA19440	-0.004182
0	NA19443	-0.02564
0	NA19444	-0.02246
0	NA19445	-0.01839
0	NA19446	0.001756
0	NA19448	0.002193
0	NA19449	-0.007483
0	NA19451	0.01538
0	NA19452	-0.01417
0	NA19453	-0.02344
0	NA19455	-0.006503
0	NA19456	0.002539
0	NA19457	0.007995
0	NA19461	-0.009035
0	NA19462	-0.00789
0	NA19463	-0.01375
0	NA19466	-0.01523
0	NA19467	-0.01217
0	NA19468	0.0008063
0	NA19469	-0.03333
0	NA19470	-0.03018
0	NA19471	-0.007031
0	NA19472	-0.009111
0	NA19473	-0.00269
0	NA19474	0.008191
0	NA19625	-0.02768
0	NA19648	0.09025
0	NA19651	0.03619
0	NA19652	0.02825
0	NA19654	0.06483
0	NA19655	0.04753
0	NA19657	0.04364
0	NA19660	0.02171
0	NA19661	-0.006684
0	NA19663	0.07389
0	NA19664	0.03684
0	NA19672	-0.02267
0	NA19675	-0.008869
0	NA19676	0.02353
0	NA19678	0.00786
0	NA19679	0.06385
0	NA19681	0.05775
0	NA19682	0.06713
0	NA19684	0.0048
0	NA19685	0.00578
0	NA19700	-0.01222
0	NA19701	-0.004996
0	NA19703	-0.007814
0	NA19704	-0.009216
0	NA19707	-0.02198
0	NA19711	0.006428
0	NA19712	0.008176
0	NA19713	-0.04264
0	NA19716	0.05393
0	NA19717	0.05041
0	NA19719	0.02414
0	NA19720	0.07518
0	NA19722	0.0483
0	NA19723	0.04763
0	NA19725	0.02215
0	NA19726	0.05857
0	NA19728	0.1856
0	NA19729	0.1558
0	NA19731	0.1639
0	NA19732	0.2025
0	NA19734	0.02897
0	NA19735	0.08097
0	NA19737	0.007799
0	NA19738	-0.008463
0	NA19740	0.04087
0	NA19741	0.07907
0	NA19746	0.08007
0	NA19747	0.07556
0	NA19749	0.05423
0	NA19750	0.06201
0	NA19752	0.0006254
0	NA19753	0.03898
0	NA19755	0.09065
0	NA19756	0.06189
0	NA19758	0.1132
0	NA19759	0.1076
0	NA19761	0.08082
0	NA19762	0.07181
0	NA19764	-0.004047
0	NA19770	0.05344
0	NA19771	0.07047
0	NA19773	0.03303
0	NA19774	0.06337
0	NA19776	0.03684
0	NA19777	0.01304
0	NA19779	0.01555
0	NA19780	0.03815
0	NA19782	0.03573
0	NA19783	0.08061
0	NA19785	0.09874
0	NA19786	0.06616
0	NA19788	0.04542
0	NA19789	0.02824
0	NA19794	0.008508
0	NA19795	0.00376
0	NA19818	-0.01371
0	NA19819	-0.01321
0	NA19834	-0.02854
0	NA19835	-0.01506
0	NA19900	-0.003564
0	NA19901	-0.005674
0	NA19904	-0.02023
0	NA19908	0.01035
0	NA19909	0.01243
0	NA19914	0.001153
0	NA19916	0.0102
0	NA19917	0.006307
0	NA19920	-0.02081
0	NA19921	-0.05051
0	NA19922	-0.03333
0	NA19923	-0.04708
0	NA19982	-0.009427
0	NA19984	-0.03912
0	NA19985	-0.03215
0	NA20126	-0.008463
0	NA20127	0.008462
0	NA20276	0.003082
0	NA20278	-0.04462
0	NA20281	-0.0002336
0	NA20282	-0.009096
0	NA20287	0.009939
0	NA20289	-0.009593
0	NA20291	0.01943
0	NA20294	0.003911
0	NA20296	-0.007046
0	NA20298	-0.03128
0	NA20299	-0.03234
0	NA20314	0.09251
0	NA20317	0.009713
0	NA20322	-0.002298
0	NA20332	0.001937
0	NA20334	-0.01612
0	NA20336	-0.02292
0	NA20339	-0.02961
0	NA20340	-0.002359
0	NA20341	-0.006458
0	NA20342	-0.01332
0	NA20344	-0.01197
0	NA20346	-0.006307
0	NA20348	0.01297
0	NA20351	-0.05856
0	NA20356	0.01238
0	NA20357	-0.00902
0	NA20359	-0.03696
0	NA20363	-0.059
0	NA20412	-0.04368
0	NA20414	-0.05446
0	NA20502	0.04423
0	NA20503	0.0457
0	NA20504	0.03787
0	NA20505	0.03182
0	NA20506	0.02607
0	NA20507	0.04206
0	NA20508	0.05368
0	NA20509	0.04602
0	NA20510	0.0256
0	NA20512	0.03788
0	NA20513	0.04165
0	NA20515	0.0387
0	NA20516	0.02248
0	NA20517	0.03491
0	NA20518	0.02471
0	NA20519	0.03327
0	NA20520	0.02596
0	NA20521	0.03547
0	NA20522	0.02173
0	NA20524	0.03886
0	NA20525	0.03401
0	NA20527	0.02923
0	NA20528	0.01861
0	NA20529	0.04246
0	NA20530	0.03579
0	NA20531	0.02777
0	NA20532	0.03457
0	NA20533	0.05026
0	NA20534	0.03312
0	NA20535	0.04506
0	NA20536	0.0398
0	NA20537	0.05419
0	NA20538	0.02884
0	NA20539	0.02795
0	NA20540	0.03449
0	NA20541	0.02682
0	NA20542	0.0571
0	NA20543	0.0465
0	NA20544	0.0527
0	NA20581	0.04567
0	NA20582	0.05012
0	NA20585	0.09331
0	NA20586	0.02105
0	NA20588	0.05461
0	NA20589	0.06834
0	NA20752	0.05556
0	NA20753	0.04412
0	NA20754	0.04858
0	NA20755	0.05334
0	NA20756	0.05779
0	NA20757	0.05482
0	NA20758	0.06509
0	NA20759	0.06062
0	NA20760	0.03916
0	NA20761	0.0524
0	NA20765	0.04911
0	NA20766	0.06386
0	NA20768	0.04338
0	NA20769	0.03137
0	NA20770	0.03648
0	NA20771	0.03511
0	NA20772	0.07277
0	NA20773	0.03265
0	NA20774	0.06851
0	NA20775	0.05282
0	NA20778	0.05155
0	NA20783	0.05077
0	NA20785	0.05642
0	NA20786	0.0557
0	NA20787	0.06388
0	NA20790	0.06747
0	NA20792	0.03211
0	NA20795	0.0256
0	NA20796	0.03621
0	NA20797	0.05297
0	NA20798	0.04807
0	NA20799	0.04839
0	NA20800	0.03943
0	NA20801	0.02977
0	NA20802	0.02477
0	NA20803	0.0473
0	NA20804	0.05762
0	NA20805	0.04566
0	NA20806	0.05344
0	NA20807	0.05716
0	NA20808	0.0486
0	NA20809	0.06912
0	NA20810	0.05556
0	NA20811	0.07357
0	NA20812	0.03992
0	NA20813	0.06682
0	NA20814	0.06712
0	NA20815	0.06038
0	NA20816	0.05568
0	NA20818	0.06504
0	NA20819	0.06201
0	NA20826	0.06869
0	NA20828	0.0725
